"Ad name","Ad set name",Day,"Ad delivery",Reach,Impressions,Frequency,"Result Type",Results,"Cost per result","Amount spent (RUB)",Starts,Ends,"CPM (cost per 1,000 impressions)","Link clicks","CPC (cost per link click)","CTR (link click-through rate)","CPC (all)","CTR (all)","Clicks (all)","Ad ID","Campaign ID","Reporting starts","Reporting ends"
3,[RU]_RF,2019-07-30,not_delivering,6,6,1,"Kundeemner (skjema)",,,4.61,,,768.33333333,,,,,0,0,23843516223200549,23843516223260549,2019-07-30,2019-07-30
2,[RU]_July_spb,2019-07-29,not_delivering,6,6,1,"Kundeemner (skjema)",,,2.91,,,485,,,,,0,0,23843516223280549,23843516223260549,2019-07-29,2019-07-29
3,[RU]_July_moscow,2019-07-25,not_delivering,5,5,1,"Kundeemner (skjema)",,,2.97,,,594,,,,,0,0,23843516223090549,23843516223260549,2019-07-25,2019-07-25
2,[RU]_July_spb,2019-07-25,not_delivering,4,4,1,"Kundeemner (skjema)",,,1.05,,,262.5,,,,,0,0,23843516223280549,23843516223260549,2019-07-25,2019-07-25
1,[RU]_July_moscow,2019-07-25,not_delivering,2,2,1,"Kundeemner (skjema)",,,0.97,,,485,,,,,0,0,23843516223080549,23843516223260549,2019-07-25,2019-07-25
1,[RU]_July_spb,2019-07-25,not_delivering,2,2,1,"Kundeemner (skjema)",,,1.47,,,735,,,,,0,0,23843516223270549,23843516223260549,2019-07-25,2019-07-25
4,[RU]_RF,2019-07-30,not_delivering,1,1,1,"Kundeemner (skjema)",,,0.46,,,460,,,,,0,0,23843516223210549,23843516223260549,2019-07-30,2019-07-30
4,[RU]_July_moscow,2019-07-29,not_delivering,1,1,1,"Kundeemner (skjema)",,,0.22,,,220,,,,,0,0,23843516223100549,23843516223260549,2019-07-29,2019-07-29
4,[RU]_July_moscow,2019-07-21,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843554115220549,23843554115330549,2019-07-21,2019-07-21
1,"[KZ]_ July",2019-07-12,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557580970549,23843557581260549,2019-07-12,2019-07-12
4,[RU]_July_moscow,2019-07-22,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843554115220549,23843554115330549,2019-07-22,2019-07-22
1,"[KZ]_ July",2019-07-11,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557580970549,23843557581260549,2019-07-11,2019-07-11
1,"[KZ]_ July",2019-07-13,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557580970549,23843557581260549,2019-07-13,2019-07-13
1,"[KZ]_ July",2019-07-14,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557580970549,23843557581260549,2019-07-14,2019-07-14
1,"[KZ]_ July",2019-07-15,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557580970549,23843557581260549,2019-07-15,2019-07-15
1,"[KZ]_ July",2019-07-16,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557580970549,23843557581260549,2019-07-16,2019-07-16
1,"[KZ]_ July",2019-07-17,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557580970549,23843557581260549,2019-07-17,2019-07-17
1,"[KZ]_ July",2019-07-18,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557580970549,23843557581260549,2019-07-18,2019-07-18
1,"[KZ]_ July",2019-07-19,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557580970549,23843557581260549,2019-07-19,2019-07-19
1,"[KZ]_ July",2019-07-20,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557580970549,23843557581260549,2019-07-20,2019-07-20
1,"[KZ]_ July",2019-07-21,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557580970549,23843557581260549,2019-07-21,2019-07-21
1,"[KZ]_ July",2019-07-22,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557580970549,23843557581260549,2019-07-22,2019-07-22
1,"[KZ]_ July",2019-07-10,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557580970549,23843557581260549,2019-07-10,2019-07-10
1,[RU]_RF,2019-07-30,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843568938750549,23843568938620549,2019-07-30,2019-07-30
1,"[KZ]_ July",2019-07-09,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557580970549,23843557581260549,2019-07-09,2019-07-09
1,[RU]_RF,2019-07-24,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843568938750549,23843568938620549,2019-07-24,2019-07-24
1,[RU]_RF,2019-07-13,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843568938750549,23843568938620549,2019-07-13,2019-07-13
1,[RU]_RF,2019-07-14,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843568938750549,23843568938620549,2019-07-14,2019-07-14
1,[RU]_RF,2019-07-15,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843568938750549,23843568938620549,2019-07-15,2019-07-15
1,[RU]_RF,2019-07-16,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843568938750549,23843568938620549,2019-07-16,2019-07-16
4,[RU]_July_moscow,2019-07-24,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843554115220549,23843554115330549,2019-07-24,2019-07-24
4,[RU]_July_moscow,2019-07-23,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843554115220549,23843554115330549,2019-07-23,2019-07-23
1,[RU]_RF,2019-07-17,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843568938750549,23843568938620549,2019-07-17,2019-07-17
1,[RU]_RF,2019-07-19,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843568938750549,23843568938620549,2019-07-19,2019-07-19
1,[RU]_RF,2019-07-18,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843568938750549,23843568938620549,2019-07-18,2019-07-18
1,[RU]_RF,2019-07-20,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843568938750549,23843568938620549,2019-07-20,2019-07-20
1,[RU]_RF,2019-07-21,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843568938750549,23843568938620549,2019-07-21,2019-07-21
1,[RU]_RF,2019-07-22,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843568938750549,23843568938620549,2019-07-22,2019-07-22
1,[RU]_RF,2019-07-23,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843568938750549,23843568938620549,2019-07-23,2019-07-23
1,[RU]_RF,2019-07-25,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843568938750549,23843568938620549,2019-07-25,2019-07-25
1,"[KZ]_ July",2019-07-08,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557580970549,23843557581260549,2019-07-08,2019-07-08
1,[RU]_RF,2019-07-26,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843568938750549,23843568938620549,2019-07-26,2019-07-26
1,[RU]_RF,2019-07-27,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843568938750549,23843568938620549,2019-07-27,2019-07-27
1,[RU]_RF,2019-07-28,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843568938750549,23843568938620549,2019-07-28,2019-07-28
1,[RU]_RF,2019-07-29,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843568938750549,23843568938620549,2019-07-29,2019-07-29
1,"[KZ]_ July",2019-07-25,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557580970549,23843557581260549,2019-07-25,2019-07-25
1,"[KZ]_ July",2019-07-31,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557580970549,23843557581260549,2019-07-31,2019-07-31
1,"[KZ]_ July",2019-07-01,not_delivering,0,0,0,"Kundeemner (skjema)",,,0,,,,,,,,,0,23843557580970549,23843557581260549,2019-07-01,2019-07-01
