"Ad name","Ad set name",Day,"Ad delivery",Reach,Impressions,Frequency,"Result Type",Results,"Cost per result","Amount spent (RUB)",Starts,Ends,"CPM (cost per 1,000 impressions)","Link clicks","CPC (cost per link click)","CTR (link click-through rate)","CPC (all)","CTR (all)","Clicks (all)","Ad ID","Campaign ID","Reporting starts","Reporting ends"
3,[EN]_18countries,2019-07-15,inactive,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843429940940549,23843429940900549,2019-07-15,2019-07-15
2,[EN]_18countries,2019-07-15,inactive,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843429940950549,23843429940900549,2019-07-15,2019-07-15
6,[EN]_18countries,2019-07-15,rejected,8020,8826,1.1004987531172,"Leads (form)",17,254.50411764706,4326.57,,,490.20734194,56,77.26017857,0.63448900974394,26.70722222,1.83548606,162,23843429940890549,23843429940900549,2019-07-15,2019-07-15
1,[EN]_18countries,2019-07-15,not_delivering,3445,4074,1.1825834542816,"Leads (form)",7,311.36714285714,2179.57,,,534.99509082,28,77.84178571,0.6872852233677,22.94284211,2.33186058,95,23843429940920549,23843429940900549,2019-07-15,2019-07-15
5,[EN]_18countries,2019-07-14,not_delivering,206,216,1.0485436893204,"Leads (form)",1,65.93,65.93,,,305.23148148,2,32.965,0.92592592592593,13.186,2.31481481,5,23843429940910549,23843429940900549,2019-07-14,2019-07-14
3,[EN]_18countries,2019-07-14,inactive,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843429940940549,23843429940900549,2019-07-14,2019-07-14
2,[EN]_18countries,2019-07-14,inactive,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843429940950549,23843429940900549,2019-07-14,2019-07-14
6,[EN]_18countries,2019-07-14,rejected,5422,5851,1.0791220951678,"Leads (form)",9,335.67333333333,3021.06,,,516.3322509,39,77.46307692,0.66655272602974,30.2106,1.70910955,100,23843429940890549,23843429940900549,2019-07-14,2019-07-14
1,[EN]_18countries,2019-07-14,not_delivering,2583,3009,1.1649245063879,"Leads (form)",7,268.65857142857,1880.61,,,624.99501496,17,110.62411765,0.56497175141243,25.0748,2.49252243,75,23843429940920549,23843429940900549,2019-07-14,2019-07-14
4,[EN]_18countries,2019-07-14,not_delivering,6368,6990,1.097675879397,"Leads (form)",10,232.398,2323.98,,,332.472103,21,110.66571429,0.30042918454936,30.9864,1.07296137,75,23843429940930549,23843429940900549,2019-07-14,2019-07-14
6,[EN]_18countries,2019-07-13,rejected,3192,3496,1.0952380952381,"Leads (form)",7,240.42857142857,1683,,,481.40732265,16,105.1875,0.45766590389016,36.58695652,1.31578947,46,23843429940890549,23843429940900549,2019-07-13,2019-07-13
4,[EN]_18countries,2019-07-13,not_delivering,11724,12330,1.0516888433982,"Leads (form)",12,324.0325,3888.39,,,315.36009732,42,92.58071429,0.34063260340633,43.68977528,0.72181671,89,23843429940930549,23843429940900549,2019-07-13,2019-07-13
1,[EN]_18countries,2019-07-13,not_delivering,664,738,1.1114457831325,"Leads (form)",4,116.8675,467.47,,,633.42818428,6,77.91166667,0.8130081300813,29.216875,2.16802168,16,23843429940920549,23843429940900549,2019-07-13,2019-07-13
5,[EN]_18countries,2019-07-13,not_delivering,79,80,1.0126582278481,"Leads (form)",,,20.97,,,262.125,,,,,0,0,23843429940910549,23843429940900549,2019-07-13,2019-07-13
3,[EN]_18countries,2019-07-13,inactive,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843429940940549,23843429940900549,2019-07-13,2019-07-13
2,[EN]_18countries,2019-07-13,inactive,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843429940950549,23843429940900549,2019-07-13,2019-07-13
4,[EN]_18countries,2019-07-12,not_delivering,8340,9050,1.0851318944844,"Leads (form)",20,141.1985,2823.97,,,312.04088398,43,65.67372093,0.47513812154696,26.64122642,1.17127072,106,23843429940930549,23843429940900549,2019-07-12,2019-07-12
1,[EN]_18countries,2019-07-12,not_delivering,1398,1549,1.1080114449213,"Leads (form)",1,947.15,947.15,,,611.45900581,6,157.85833333,0.38734667527437,47.3575,1.29115558,20,23843429940920549,23843429940900549,2019-07-12,2019-07-12
6,[EN]_18countries,2019-07-12,rejected,5386,5946,1.1039732640178,"Leads (form)",7,347.45142857143,2432.16,,,409.04137235,27,90.08,0.45408678102926,35.24869565,1.160444,69,23843429940890549,23843429940900549,2019-07-12,2019-07-12
2,[EN]_18countries,2019-07-12,inactive,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843429940950549,23843429940900549,2019-07-12,2019-07-12
3,[EN]_18countries,2019-07-12,inactive,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843429940940549,23843429940900549,2019-07-12,2019-07-12
5,[EN]_18countries,2019-07-12,not_delivering,849,874,1.0294464075383,"Leads (form)",,,214.37,,,245.27459954,1,214.37,0.11441647597254,42.874,0.57208238,5,23843429940910549,23843429940900549,2019-07-12,2019-07-12
1,[EN]_18countries,2019-07-11,not_delivering,3612,4001,1.1076965669989,"Leads (form)",5,484.546,2422.73,,,605.53111722,21,115.36809524,0.5248687828043,44.86537037,1.34966258,54,23843429940920549,23843429940900549,2019-07-11,2019-07-11
2,[EN]_18countries,2019-07-11,inactive,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843429940950549,23843429940900549,2019-07-11,2019-07-11
6,[EN]_18countries,2019-07-11,rejected,10812,11699,1.0820384757677,"Leads (form)",12,376.48416666667,4517.81,,,386.17061287,55,82.142,0.47012565176511,32.73775362,1.179588,138,23843429940890549,23843429940900549,2019-07-11,2019-07-11
5,[EN]_18countries,2019-07-11,not_delivering,2275,2439,1.0720879120879,"Leads (form)",,,616.8,,,252.89052891,16,38.55,0.6560065600656,20.56,1.2300123,30,23843429940910549,23843429940900549,2019-07-11,2019-07-11
4,[EN]_18countries,2019-07-11,not_delivering,7414,8167,1.1015646074993,"Leads (form)",9,290.75111111111,2616.76,,,320.40651402,32,81.77375,0.39182074201053,32.7095,0.97955186,80,23843429940930549,23843429940900549,2019-07-11,2019-07-11
3,[EN]_18countries,2019-07-11,inactive,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843429940940549,23843429940900549,2019-07-11,2019-07-11
6,[EN]_18countries,2019-07-10,rejected,12432,13300,1.0698198198198,"Leads (form)",13,469.45384615385,6102.9,,,458.86466165,64,95.3578125,0.4812030075188,36.76445783,1.2481203,166,23843429940890549,23843429940900549,2019-07-10,2019-07-10
3,[EN]_18countries,2019-07-10,inactive,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843429940940549,23843429940900549,2019-07-10,2019-07-10
4,[EN]_18countries,2019-07-10,not_delivering,3953,4361,1.1032127498103,"Leads (form)",10,209.398,2093.98,,,480.16051364,23,91.0426087,0.52740197202476,29.08305556,1.65099748,72,23843429940930549,23843429940900549,2019-07-10,2019-07-10
1,[EN]_18countries,2019-07-10,not_delivering,3752,3950,1.0527718550107,"Leads (form)",9,204.97222222222,1844.75,,,467.02531646,27,68.32407407,0.68354430379747,30.24180328,1.5443038,61,23843429940920549,23843429940900549,2019-07-10,2019-07-10
2,[EN]_18countries,2019-07-10,inactive,0,0,0,"Leads (form)",,,0,,,,,,,,,0,23843429940950549,23843429940900549,2019-07-10,2019-07-10
5,[EN]_18countries,2019-07-10,not_delivering,615,638,1.0373983739837,"Leads (form)",1,171.82,171.82,,,269.31034483,5,34.364,0.78369905956113,14.31833333,1.88087774,12,23843429940910549,23843429940900549,2019-07-10,2019-07-10
4,[EN]_18countries,2019-07-09,not_delivering,1056,1119,1.0596590909091,"Leads (form)",1,496.27,496.27,,,443.49419124,3,165.42333333,0.26809651474531,82.71166667,0.53619303,6,23843429940930549,23843429940900549,2019-07-09,2019-07-09
2,[EN]_18countries,2019-07-09,inactive,87,95,1.0919540229885,"Leads (form)",,,53.81,,,566.42105263,1,53.81,1.0526315789474,53.81,1.05263158,1,23843429940950549,23843429940900549,2019-07-09,2019-07-09
3,[EN]_18countries,2019-07-09,inactive,222,236,1.0630630630631,"Leads (form)",,,95.71,,,405.55084746,,,,95.71,0.42372881,1,23843429940940549,23843429940900549,2019-07-09,2019-07-09
6,[EN]_18countries,2019-07-09,rejected,11220,12282,1.0946524064171,"Leads (form)",19,273.86947368421,5203.52,,,423.67041199,54,96.36148148,0.43966780654617,31.53648485,1.34342941,165,23843429940890549,23843429940900549,2019-07-09,2019-07-09
5,[EN]_18countries,2019-07-09,not_delivering,245,249,1.0163265306122,"Leads (form)",,,66.69,,,267.8313253,1,66.69,0.40160642570281,33.345,0.80321285,2,23843429940910549,23843429940900549,2019-07-09,2019-07-09
1,[EN]_18countries,2019-07-09,not_delivering,5680,6126,1.0785211267606,"Leads (form)",12,282.0825,3384.99,,,552.5612145,32,105.7809375,0.52236369572315,42.312375,1.30590924,80,23843429940920549,23843429940900549,2019-07-09,2019-07-09
